time, Quad.GPS.X
0.105000,-0.372331
0.205000,0.639912
0.305000,-0.736713
0.404998,0.869277
0.504997,0.180249
0.604996,-0.945163
0.704994,0.887995
0.804993,-0.259721
0.904992,-0.450408
1.004991,-1.571517
1.104996,-0.470571
1.205000,-0.521929
1.305005,0.253355
1.405010,0.472120
1.505014,-0.728119
1.605019,-0.303955
1.705024,0.691517
1.805028,0.977370
1.905033,-0.719652
2.005037,0.026370
2.105030,-0.246147
2.205023,0.657976
2.305015,0.154436
2.405008,0.268448
2.505001,-1.340523
2.604994,-0.121928
2.704986,-0.281178
2.804979,-0.170148
2.904972,-0.305803
3.004965,0.506227
3.104957,-1.532474
3.204950,0.509984
3.304943,-0.526648
3.404936,0.039904
