time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073901
0.015000,0.523188
0.020000,-0.426960
0.025000,0.914841
0.030000,-0.298725
0.035000,0.178819
0.040000,-0.573884
0.045000,0.304716
0.050000,-1.091108
0.055000,-0.005212
0.060000,0.404271
0.065000,-0.808406
0.070000,0.965091
0.075000,0.583263
0.080000,0.158012
0.085000,0.468204
0.090000,0.734083
0.095000,-0.077462
0.100000,0.792639
0.105000,1.009951
0.110000,0.273662
0.115000,0.018264
0.120000,-0.173301
0.125000,-0.115645
0.130000,-1.012542
0.135000,-0.056777
0.140000,0.086529
0.145000,0.443660
0.150000,0.285572
0.155000,-0.573371
0.160000,0.475738
0.165000,-0.043599
0.170000,0.341805
0.175000,0.901910
0.180000,0.075057
0.185000,-0.642747
0.190000,-0.678170
0.195000,-0.025099
0.200000,0.693599
0.205000,-0.661959
0.210000,-0.493700
0.215000,0.167474
0.220000,-0.728560
0.225000,-0.164854
0.230000,0.103551
0.235000,-0.274804
0.240000,-0.227508
0.245000,-0.517535
0.250000,-0.067063
0.255000,-0.682705
0.260000,0.193523
0.265000,-0.277112
0.270000,-0.420500
0.275000,-0.521179
0.280000,0.075288
0.285000,0.240459
0.290000,-0.529068
0.295000,-0.288482
0.300000,-0.032061
0.305000,-0.310026
0.310000,0.603450
0.314999,-0.017065
0.319999,0.533012
0.324999,0.519653
0.329999,0.593253
0.334999,-0.112340
0.339999,-0.268548
0.344999,-0.036122
0.349999,-0.610332
0.354999,-0.178823
0.359999,0.152857
0.364999,0.539128
0.369999,1.197569
0.374999,0.302272
0.379999,-0.140280
0.384999,-0.595644
0.389999,0.313901
0.394998,0.195120
0.399998,-0.004573
0.404998,-0.816369
0.409998,0.244675
0.414998,-0.221938
0.419998,0.440444
0.424998,0.097101
0.429998,-0.546014
0.434998,-0.328217
0.439998,-0.219391
0.444998,0.048233
0.449998,-0.992514
0.454998,-1.217910
0.459998,0.038932
0.464998,0.363652
0.469997,-0.556199
0.474997,-0.494673
0.479997,0.900739
0.484997,0.205263
0.489997,-0.610508
0.494997,-0.119446
0.499997,-0.278562
0.504997,0.308560
0.509997,-0.407281
0.514997,0.192476
0.519997,-0.133085
0.524997,-0.021366
0.529997,-0.665611
0.534997,0.068393
0.539997,0.366499
0.544997,0.182534
0.549996,-0.623652
0.554996,0.055464
0.559996,-0.492885
0.564996,0.393692
0.569996,-0.876235
0.574996,-0.047232
0.579996,-0.077460
0.584996,-0.062054
0.589996,0.361059
0.594996,0.431891
0.599996,-0.976072
0.604996,0.053888
0.609996,-0.307966
0.614996,0.095583
0.619996,0.346814
0.624996,-0.275607
0.629995,0.487069
0.634995,0.070156
0.639995,-1.089594
0.644995,-0.132525
0.649995,0.275128
0.654995,0.588943
0.659995,-0.114079
0.664995,0.546065
0.669995,0.023905
0.674995,0.162721
0.679995,-0.629736
0.684995,0.032909
0.689995,0.002233
0.694995,0.564080
0.699995,0.560185
0.704994,-0.247897
0.709994,0.601701
0.714994,-0.287772
0.719994,-0.060816
0.724994,0.703887
0.729994,-0.013729
0.734994,0.567930
0.739994,-0.730329
0.744994,0.582629
0.749994,-0.076466
0.754994,-0.225119
0.759994,0.234496
0.764994,0.412813
0.769994,-0.460457
0.774994,0.752111
0.779994,-0.068739
0.784993,-0.096127
0.789993,0.571747
0.794993,-0.906043
0.799993,-0.094273
0.804993,0.168018
0.809993,-0.370501
0.814993,-0.218748
0.819993,-0.168252
0.824993,0.455131
0.829993,0.063436
0.834993,0.307152
0.839993,0.054982
0.844993,0.634367
0.849993,-0.079353
0.854993,-0.099822
0.859993,-0.337894
0.864992,-0.158647
0.869992,-0.462180
0.874992,0.118620
0.879992,-0.087830
0.884992,-0.391286
0.889992,-0.672955
0.894992,-0.705306
0.899992,0.466605
0.904992,-0.024516
0.909992,0.185521
0.914992,-0.335350
0.919992,-0.376585
0.924992,-0.263313
0.929992,0.469140
0.934992,-0.449057
0.939991,0.298374
0.944991,-0.242727
0.949991,1.246818
0.954991,-0.670141
0.959991,0.468777
0.964991,1.170154
0.969991,-0.753192
0.974991,0.936037
0.979991,-0.716038
0.984991,0.139505
0.989991,0.593222
0.994991,-0.651034
0.999991,0.202403
1.004991,0.107421
1.009991,-0.037756
1.014991,0.894833
1.019992,0.567003
1.024992,-0.128621
1.029992,-0.717793
1.034992,-0.024724
1.039993,-0.041818
1.044993,-0.083713
1.049993,0.681265
1.054993,-0.104841
1.059994,-0.187252
1.064994,-0.089668
1.069994,-0.319129
1.074994,-0.200772
1.079994,0.529829
1.084995,0.089263
1.089995,-0.156841
1.094995,-0.128081
1.099995,0.436810
1.104996,-0.155402
1.109996,0.499196
1.114996,-0.264609
1.119996,-0.119744
1.124997,-0.337597
1.129997,-0.783349
1.134997,0.381591
1.139997,0.183386
1.144997,-0.297064
1.149998,1.056162
1.154998,0.416936
1.159998,0.023510
1.164998,-0.350235
1.169999,-0.107474
1.174999,0.475635
1.179999,0.278562
1.184999,-0.441278
1.190000,-0.407706
1.195000,-0.002778
1.200000,-0.128085
1.205000,0.118956
1.210001,0.145295
1.215001,-0.147081
1.220001,-0.774008
1.225001,0.761092
1.230001,0.063317
1.235002,-0.424475
1.240002,-0.501184
1.245002,-0.214068
1.250002,-1.000972
1.255003,0.275065
1.260003,0.933061
1.265003,-0.345972
1.270003,-0.046303
1.275004,0.515243
1.280004,0.448552
1.285004,0.294705
1.290004,-0.895629
1.295004,0.116054
1.300005,0.248640
1.305005,0.080077
1.310005,-0.505047
1.315005,0.082588
1.320006,-0.131009
1.325006,0.407400
1.330006,0.057153
1.335006,-0.217539
1.340007,0.279006
1.345007,-0.387512
1.350007,0.157500
1.355007,-0.702203
1.360008,-0.205088
1.365008,-0.135796
1.370008,-0.263140
1.375008,1.238384
1.380008,-0.545777
1.385009,0.245921
1.390009,-0.105012
1.395009,0.208861
1.400009,0.013406
1.405010,1.189128
1.410010,-0.134761
1.415010,-0.355744
1.420010,0.463945
1.425011,-0.364267
1.430011,0.897528
1.435011,-0.051345
1.440011,-0.137332
1.445011,0.499173
1.450012,0.006130
1.455012,-0.643242
1.460012,-0.201873
1.465012,0.232172
1.470013,0.219237
1.475013,0.691146
1.480013,-0.846547
1.485013,-0.446557
1.490014,0.440495
1.495014,0.573952
1.500014,0.156594
1.505014,0.074424
1.510015,0.473865
1.515015,-0.038555
1.520015,0.190558
1.525015,0.527510
1.530015,0.213321
1.535016,-0.844508
1.540016,0.012903
1.545016,-0.190460
1.550016,0.362393
1.555017,0.188361
1.560017,0.524765
1.565017,0.645594
1.570017,0.378629
1.575018,-0.905780
1.580018,-0.200339
1.585018,-0.650999
1.590018,-0.055942
1.595019,-0.166298
1.600019,-0.775000
1.605019,0.011184
1.610019,0.012545
1.615019,0.109116
1.620020,-1.086896
1.625020,-0.136095
1.630020,-0.446192
1.635020,0.643877
1.640021,0.459302
1.645021,-0.230651
1.650021,-0.547229
1.655021,-0.186240
1.660022,0.210170
1.665022,0.446139
1.670022,0.724890
1.675022,0.656233
1.680022,0.704021
1.685023,0.484248
1.690023,0.643888
1.695023,-0.010684
1.700023,0.053704
1.705024,-0.667390
1.710024,0.222065
1.715024,-0.096329
1.720024,-0.812666
1.725025,-0.110282
1.730025,-0.711134
1.735025,0.085243
1.740025,-0.010939
1.745026,0.359786
1.750026,0.121457
1.755026,-0.365196
1.760026,0.187652
1.765026,-0.053949
1.770027,0.243614
1.775027,-0.694791
1.780027,0.012888
1.785027,0.165290
1.790028,0.261524
1.795028,-0.214649
1.800028,0.452057
1.805028,-0.564444
1.810029,0.031229
1.815029,0.332767
1.820029,0.531648
1.825029,-0.389057
1.830029,0.085670
1.835030,-0.388683
1.840030,-0.567418
1.845030,0.481474
1.850030,0.290285
1.855031,-0.201903
1.860031,-0.784635
1.865031,-0.284986
1.870031,0.527508
1.875032,0.349932
1.880032,0.062634
1.885032,-0.239730
1.890032,-0.852456
1.895033,0.060513
1.900033,-0.185649
1.905033,-1.213419
1.910033,0.379477
1.915033,0.067530
1.920034,-0.620371
1.925034,0.082848
1.930034,0.605005
1.935034,-0.082714
1.940035,0.189487
1.945035,-0.069378
1.950035,0.396697
1.955035,-0.120318
1.960036,-0.446988
1.965036,-0.636035
1.970036,0.486696
1.975036,-0.456720
1.980036,-0.278131
1.985037,0.332927
1.990037,-0.384318
1.995037,0.337723
2.000037,0.120400
2.005037,-0.485572
2.010037,0.283914
2.015036,0.138508
2.020036,0.155770
2.025036,0.165547
2.030035,-0.411118
2.035035,0.576920
2.040035,0.353497
2.045034,-0.487610
2.050034,0.064545
2.055033,0.831403
2.060033,-0.208881
2.065033,-0.332460
2.070032,-0.012326
2.075032,-0.270222
2.080032,-0.401305
2.085031,0.587145
2.090031,0.094601
2.095031,-0.548178
2.100030,0.324547
2.105030,-0.129504
2.110029,0.932543
2.115029,-0.665265
2.120029,-0.248803
2.125028,0.042495
2.130028,0.791041
2.135028,-0.289240
2.140027,-1.841686
2.145027,0.354017
2.150027,-0.199965
2.155026,0.186009
2.160026,0.530741
2.165025,-0.272162
2.170025,-0.664041
2.175025,-0.397615
2.180024,0.219228
2.185024,0.505457
2.190024,-0.023028
2.195023,0.347613
2.200023,-0.498101
2.205023,0.110796
2.210022,0.745080
2.215022,1.276081
2.220021,-0.265595
2.225021,-0.589796
2.230021,0.379619
2.235020,-0.017461
2.240020,-0.023954
2.245020,-0.565217
2.250019,-0.708985
2.255019,-0.960552
2.260019,-1.363332
2.265018,-0.205820
2.270018,0.170499
2.275017,0.297301
2.280017,0.734379
2.285017,-0.251746
2.290016,0.040317
2.295016,-0.731933
2.300016,0.896097
2.305015,0.045169
2.310015,0.771008
2.315015,0.342986
2.320014,0.974431
2.325014,0.155833
2.330014,-0.102131
2.335013,-0.179257
2.340013,-0.519857
2.345012,0.109494
2.350012,0.694418
2.355012,-0.415155
2.360011,0.274692
2.365011,-0.773385
2.370011,0.690491
2.375010,0.187671
2.380010,-0.089541
2.385010,-1.258360
2.390009,-0.392856
2.395009,0.000317
2.400008,0.086056
2.405008,-0.069020
2.410008,-0.300731
2.415007,-0.133908
2.420007,0.526154
2.425007,0.309647
2.430006,0.578993
2.435006,-0.389790
2.440006,-0.178510
2.445005,0.207505
2.450005,-0.077796
2.455004,0.681464
2.460004,0.441754
2.465004,-0.892770
2.470003,-0.616785
2.475003,-0.379635
2.480003,0.245222
2.485002,0.137459
2.490002,-0.874831
2.495002,-0.167969
2.500001,0.092066
2.505001,0.320930
2.510000,0.034596
2.515000,-0.352795
2.520000,0.030306
2.524999,-0.431720
2.529999,0.272201
2.534999,-0.593808
2.539998,0.127056
2.544998,0.103318
2.549998,-0.267102
2.554997,-0.312611
2.559997,-0.153726
2.564996,-0.148183
2.569996,-0.984741
2.574996,0.104673
2.579995,-0.321501
2.584995,0.269967
2.589995,0.415612
2.594994,-0.855657
2.599994,0.479885
2.604994,0.724535
2.609993,0.483221
2.614993,1.232097
2.619992,-0.180171
2.624992,0.800875
2.629992,-0.385465
2.634991,-0.588543
2.639991,0.848129
2.644991,0.612485
2.649990,-0.011925
2.654990,-0.213966
2.659990,0.354888
2.664989,0.272670
2.669989,-0.136720
2.674989,0.709077
2.679988,-0.738338
2.684988,-0.672400
2.689987,0.288928
2.694987,-0.578633
2.699987,-0.022008
2.704986,-0.566297
2.709986,0.289216
2.714986,-0.739511
